episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,909.7785,600,1,1,465,0
1,10.9677,600,0,0,465,6
2,412.2488,600,1,1,465,0
3,317.6062,600,1,1,465,0
4,570.1783,600,1,1,465,0
5,360.3057,600,1,1,465,0
6,12.9039,600,0,1,465,11
7,177.2884,600,1,1,465,0
8,798.3044,600,1,1,465,0
9,12.3669,600,0,0,465,24
10,827.4228,600,1,1,465,0
11,13.6173,600,0,0,465,0
12,734.8554,600,1,1,465,0
13,131.7760,600,1,1,465,0
14,156.2085,600,1,1,465,0
15,13.0393,600,0,0,465,16
16,170.7856,600,1,1,465,0
17,142.7816,600,1,1,465,0
18,11.0237,600,0,1,465,29
19,416.4500,600,1,1,465,0
20,468.1441,600,1,1,465,0
21,348.2119,600,1,1,465,0
22,520.3305,600,1,1,465,0
23,156.8803,600,1,1,465,0
24,98.1633,600,1,1,465,0
25,765.5450,600,1,1,465,0
26,13.5735,600,0,0,465,8
27,171.1723,600,1,1,465,0
28,499.0005,600,1,1,465,0
29,90.6561,600,1,1,465,0
30,206.2952,600,1,1,465,0
31,781.6292,600,1,1,465,0
32,243.8582,600,1,1,465,0
33,348.4624,600,1,1,465,0
34,458.6475,600,1,1,465,0
35,759.1543,600,1,1,465,0
36,440.2087,600,1,1,465,0
37,776.7926,600,1,1,465,0
38,779.0314,600,1,1,465,0
39,413.2309,600,1,1,465,0
40,198.5099,600,1,1,465,0
41,675.4212,600,1,1,465,0
42,412.6411,600,1,1,465,0
43,651.4486,600,1,1,465,0
44,160.7261,600,1,1,465,0
45,228.8017,600,1,1,465,0
46,400.8719,600,1,1,465,0
47,308.0228,600,1,1,465,0
48,588.8506,600,1,1,465,0
49,241.9050,600,1,1,465,0
50,854.0614,600,1,1,465,0
51,104.2148,600,1,1,465,0
52,787.0396,600,1,1,465,0
53,813.7706,600,1,1,465,0
54,486.8800,600,1,1,465,0
55,172.0711,600,1,1,465,0
56,37.3880,600,1,1,465,0
57,811.6976,600,1,1,465,0
58,115.4075,600,1,1,465,0
59,412.4988,600,1,1,465,0
60,394.6590,600,1,1,465,0
61,551.9590,600,1,1,465,0
62,426.4822,600,1,1,465,0
63,257.7611,600,1,1,465,0
64,558.0929,600,1,1,465,0
65,67.2139,600,1,1,465,0
66,650.2773,600,1,1,465,0
67,529.6977,600,1,1,465,0
68,243.0711,600,1,1,465,0
69,385.2286,600,1,1,465,0
70,12.0006,600,0,0,465,24
