episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,2.7133,600,0,1,488,105
1,8.5877,600,0,0,488,28
2,6.4696,600,0,0,488,56
3,791.9819,600,1,1,488,0
4,149.9230,600,1,1,488,0
5,7.9012,600,0,0,488,49
6,498.0077,600,1,1,488,0
7,10.9487,600,0,0,488,22
8,8.6628,600,0,0,488,22
9,13.9931,600,0,0,488,8
10,414.1187,600,1,1,488,0
11,9.9577,600,0,1,488,30
12,14.4605,600,1,1,488,0
13,11.2069,600,0,1,488,32
14,603.9820,600,1,1,488,0
15,13.2802,600,0,0,488,12
16,916.4192,600,1,1,488,0
17,804.7023,600,1,1,488,0
18,8.9211,600,0,0,488,27
19,9.3943,600,0,1,488,44
20,677.3127,600,1,1,488,0
21,817.3752,600,1,1,488,0
22,156.8933,600,1,1,488,0
23,10.6112,600,0,0,488,4
24,443.1802,600,1,1,488,0
25,11.3444,600,0,1,488,11
26,117.1745,600,1,1,488,0
27,301.9884,600,1,1,488,0
28,13.6432,600,0,0,488,11
29,10.6953,600,0,1,488,38
30,10.2323,600,0,1,488,22
31,233.1574,600,1,1,488,0
32,330.6439,600,1,1,488,0
33,12.3750,600,0,0,488,11
34,220.9828,600,1,1,488,0
35,173.4778,600,1,1,488,0
36,189.5650,600,1,1,488,0
37,11.9219,600,0,1,488,32
38,304.3552,600,1,1,488,0
39,11.6341,600,0,0,488,6
40,463.7519,600,1,1,488,0
41,8.3588,600,0,1,488,53
42,11.8939,600,0,0,488,11
43,208.4073,600,1,1,488,0
44,11.0198,600,0,1,488,47
45,11.9023,600,0,0,488,23
46,9.8296,600,0,1,488,16
47,28.0359,600,1,1,488,0
48,11.0588,600,0,0,488,2
49,100.8533,600,1,1,488,0
50,717.8953,600,1,1,488,0
51,42.9922,600,1,1,488,0
52,10.4385,600,0,0,488,6
53,14.3520,600,0,0,488,4
54,11.2504,600,0,0,488,32
55,10.8160,600,0,1,488,38
56,393.0558,600,1,1,488,0
57,10.0892,600,0,0,488,18
58,10.5391,600,0,1,488,35
59,319.4747,600,1,1,488,0
60,520.4409,600,1,1,488,0
61,733.5910,600,1,1,488,0
62,11.8877,600,0,1,488,9
63,418.4579,600,1,1,488,0
64,11.0757,600,0,0,488,33
65,837.1862,600,1,1,488,0
66,9.4212,600,0,1,488,41
67,11.4018,600,0,1,488,31
68,162.0497,600,1,1,488,0
69,628.7146,600,1,1,488,0
70,43.4379,600,1,1,488,0
71,138.9357,600,1,1,488,0
72,12.2770,600,0,0,488,7
73,873.2340,600,1,1,488,0
74,12.1037,600,0,1,488,26
75,9.8779,600,0,0,488,35
76,167.6845,600,1,1,488,0
77,10.1997,600,0,1,488,42
78,633.1042,600,1,1,488,0
79,11.4784,600,0,0,488,14
80,10.9379,600,0,0,488,37
81,815.8591,600,1,1,488,0
82,765.5434,600,1,1,488,0
83,730.8982,600,1,1,488,0
84,202.8361,600,1,1,488,0
85,795.8260,600,1,1,488,0
86,10.0000,600,0,1,488,19
87,136.6064,600,1,1,488,0
88,597.4201,600,1,1,488,0
89,10.4528,600,0,0,488,1
90,338.9641,600,1,1,488,0
91,883.1135,600,1,1,488,0
92,10.8366,600,0,0,488,7
93,10.5054,600,0,1,488,40
94,779.0880,600,1,1,488,0
95,46.3320,600,1,1,488,0
96,607.6448,600,1,1,488,0
97,43.3501,600,1,1,488,0
98,256.0142,600,1,1,488,0
99,11.6053,600,0,1,488,1
100,615.2527,600,1,1,562,0
101,229.3029,600,1,1,562,0
102,240.2431,600,1,1,562,0
103,612.2152,600,1,1,562,0
104,116.0240,600,1,1,562,0
105,903.2415,600,1,1,562,0
106,827.0093,600,1,1,562,0
107,11.5395,600,0,0,562,22
108,11.4494,600,0,0,562,26
109,739.0604,600,1,1,562,0
110,104.6516,600,1,1,562,0
111,458.7317,600,1,1,562,0
112,869.9023,600,1,1,562,0
113,118.2903,600,1,1,562,0
114,934.5787,600,1,1,562,0
115,799.4833,600,1,1,562,0
116,494.4195,600,1,1,562,0
117,610.6633,600,1,1,562,0
118,390.2739,600,1,1,562,0
119,795.4648,600,1,1,562,0
120,300.7836,600,1,1,562,0
121,656.2422,600,1,1,562,0
122,763.6424,600,1,1,562,0
123,851.6333,600,1,1,562,0
124,254.1702,600,1,1,562,0
125,169.6641,600,1,1,562,0
126,449.3896,600,1,1,562,0
127,161.9782,600,1,1,562,0
128,11.0791,600,0,1,562,15
129,455.7703,600,1,1,562,0
130,12.2434,600,0,0,562,23
131,401.0494,600,1,1,562,0
132,761.7043,600,1,1,562,0
133,854.9355,600,1,1,562,0
134,11.3032,600,0,0,562,28
135,11.9583,600,0,0,562,21
136,35.6923,600,1,1,562,0
137,722.7628,600,1,1,562,0
138,542.4073,600,1,1,562,0
139,797.5955,600,1,1,562,0
140,370.4279,600,1,1,562,0
141,12.2507,600,0,0,562,8
142,27.4493,600,1,1,562,0
143,45.0115,600,1,1,562,0
144,9.1687,600,0,1,562,29
145,445.5340,600,1,1,562,0
146,12.6036,600,0,1,562,17
147,118.1875,600,1,1,562,0
148,198.0380,600,1,1,562,0
149,712.4641,600,1,1,562,0
150,942.9867,600,1,1,562,0
151,703.7723,600,1,1,562,0
152,10.3233,600,0,0,562,27
153,833.0340,600,1,1,562,0
154,12.0762,600,0,1,562,7
155,534.8333,600,1,1,562,0
156,794.0387,600,1,1,562,0
157,849.3507,600,1,1,562,0
158,11.0056,600,0,0,562,26
159,11.0344,600,0,1,562,26
160,11.4333,600,0,1,562,9
161,10.6991,600,0,0,562,32
162,195.6189,600,1,1,562,0
163,376.2935,600,1,1,562,0
164,808.6207,600,1,1,562,0
165,11.6930,600,0,1,562,35
166,921.8646,600,1,1,562,0
167,328.1861,600,1,1,562,0
168,858.0042,600,1,1,562,0
169,604.7214,600,1,1,562,0
170,12.8759,600,0,1,562,23
171,13.0277,600,0,1,562,16
172,186.7346,600,1,1,562,0
173,472.6496,600,1,1,562,0
174,302.9951,600,1,1,562,0
175,869.1703,600,1,1,562,0
176,215.3941,600,1,1,562,0
177,366.5323,600,1,1,562,0
178,9.8018,600,0,0,562,36
179,846.7636,600,1,1,562,0
180,767.2236,600,1,1,562,0
181,70.9393,600,1,1,562,0
182,13.8018,600,0,0,562,3
183,103.6212,600,1,1,562,0
184,12.0569,600,0,1,562,28
185,659.1745,600,1,1,562,0
186,813.0044,600,1,1,562,0
187,597.7030,600,1,1,562,0
188,132.1366,600,1,1,562,0
189,746.3341,600,1,1,562,0
190,310.2175,600,1,1,562,0
191,620.0565,600,1,1,562,0
192,686.5644,600,1,1,562,0
193,406.6679,600,1,1,562,0
194,388.9729,600,1,1,562,0
195,181.1531,600,1,1,562,0
196,713.4571,600,1,1,562,0
197,8.8572,600,0,0,562,38
198,817.3451,600,1,1,562,0
199,10.5805,600,0,0,562,14
