episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,773.3071,600,1,1,431,0
1,680.4189,600,1,1,431,0
2,7.3615,600,0,1,431,38
3,11.4719,600,0,0,431,26
4,730.3531,600,1,1,431,0
5,12.9027,600,0,0,431,13
6,82.3874,600,1,1,431,0
7,9.7648,600,0,1,431,57
8,769.1254,600,1,1,431,0
9,435.4254,600,1,1,431,0
10,11.1923,600,0,1,431,12
11,8.8766,600,0,0,431,58
12,356.1868,600,1,1,431,0
13,894.0608,600,1,1,431,0
14,142.0678,600,1,1,431,0
15,21.3793,600,1,1,431,0
16,11.7420,600,0,0,431,0
17,68.5595,600,1,1,431,0
18,467.1972,600,1,1,431,0
19,196.8263,600,1,1,431,0
20,13.3403,600,0,0,431,15
21,261.0273,600,1,1,431,0
22,12.9105,600,0,0,431,16
23,10.6440,600,0,0,431,36
24,15.3596,600,1,1,431,0
25,806.1589,600,1,1,431,0
26,218.1755,600,1,1,431,0
27,594.8963,600,1,1,431,0
28,348.7391,600,1,1,431,0
29,9.9619,600,0,0,431,6
30,72.0714,600,1,1,431,0
31,11.0522,600,0,0,431,12
32,569.2506,600,1,1,431,0
33,460.3292,600,1,1,431,0
34,106.7550,600,1,1,431,0
35,13.1714,600,0,0,431,16
36,637.0742,600,1,1,431,0
37,12.0604,600,0,0,431,14
38,425.6594,600,1,1,431,0
39,61.0634,600,1,1,431,0
40,783.6705,600,1,1,431,0
41,692.9517,600,1,1,431,0
42,361.9153,600,1,1,431,0
43,640.0348,600,1,1,431,0
44,12.0522,600,0,1,431,12
45,225.4021,600,1,1,431,0
46,631.3955,600,1,1,431,0
47,754.5521,600,1,1,431,0
48,841.0722,600,1,1,431,0
49,47.1414,600,1,1,431,0
50,547.2503,600,1,1,431,0
51,323.9887,600,1,1,431,0
52,367.8161,600,1,1,431,0
53,403.5220,600,1,1,431,0
54,64.0716,600,1,1,431,0
55,343.7823,600,1,1,431,0
56,567.8437,600,1,1,431,0
57,872.2988,600,1,1,431,0
58,663.5101,600,1,1,431,0
59,734.4656,600,1,1,431,0
60,145.2787,600,1,1,431,0
61,13.9547,600,0,1,431,4
62,619.4352,600,1,1,431,0
63,635.5163,600,1,1,431,0
64,387.6053,600,1,1,431,0
65,451.2628,600,1,1,431,0
66,177.4357,600,1,1,431,0
67,30.5888,600,1,1,431,0
68,146.7451,600,1,1,431,0
69,764.4917,600,1,1,431,0
70,631.2276,600,1,1,431,0
71,32.2417,600,1,1,431,0
72,846.9762,600,1,1,431,0
73,810.6246,600,1,1,431,0
74,193.5987,600,1,1,431,0
75,436.0035,600,1,1,431,0
76,678.8924,600,1,1,431,0
77,208.6563,600,1,1,431,0
78,595.2461,600,1,1,431,0
79,493.4105,600,1,1,431,0
80,660.4093,600,1,1,431,0
81,827.7134,600,1,1,431,0
82,375.3641,600,1,1,431,0
83,525.4593,600,1,1,431,0
84,798.1082,600,1,1,431,0
85,170.3917,600,1,1,431,0
86,437.7923,600,1,1,431,0
87,666.2306,600,1,1,431,0
88,184.9347,600,1,1,431,0
89,627.9467,600,1,1,431,0
90,551.3312,600,1,1,431,0
91,14.1920,600,0,1,431,10
92,128.4518,600,1,1,431,0
93,110.1943,600,1,1,431,0
94,190.6797,600,1,1,431,0
95,226.7810,600,1,1,431,0
96,826.5307,600,1,1,431,0
97,928.2147,600,1,1,431,0
98,171.4129,600,1,1,431,0
99,407.5183,600,1,1,431,0
100,803.3117,600,1,1,443,0
101,583.7246,600,1,1,443,0
102,680.6059,600,1,1,443,0
103,478.9360,600,1,1,443,0
104,196.6975,600,1,1,443,0
105,320.1012,600,1,1,443,0
106,12.6027,600,0,0,443,14
107,765.9099,600,1,1,443,0
108,364.3677,600,1,1,443,0
109,882.9797,600,1,1,443,0
110,494.9560,600,1,1,443,0
111,22.7688,600,1,1,443,0
112,280.2017,600,1,1,443,0
113,898.2179,600,1,1,443,0
114,375.6872,600,1,1,443,0
115,302.5898,600,1,1,443,0
116,683.2117,600,1,1,443,0
117,892.9663,600,1,1,443,0
118,198.4733,600,1,1,443,0
119,807.4921,600,1,1,443,0
120,114.0687,600,1,1,443,0
121,615.0765,600,1,1,443,0
122,361.8389,600,1,1,443,0
123,537.5439,600,1,1,443,0
124,14.6902,600,0,1,443,7
125,439.8800,600,1,1,443,0
126,368.9309,600,1,1,443,0
127,178.0864,600,1,1,443,0
128,751.5582,600,1,1,443,0
129,558.3851,600,1,1,443,0
