episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,2.1146,600,0,1,402,104
1,497.3014,600,1,1,402,0
2,572.5520,600,1,1,402,0
3,483.9042,600,1,1,402,0
4,282.0086,600,1,1,402,0
5,576.1662,600,1,1,402,0
6,829.5559,600,1,1,402,0
7,546.5483,600,1,1,402,0
8,41.0094,600,1,1,402,0
9,316.0075,600,1,1,402,0
10,241.8032,600,1,1,402,0
11,743.2385,600,1,1,402,0
12,318.6950,600,1,1,402,0
13,644.6704,600,1,1,402,0
14,290.3633,600,1,1,402,0
15,24.4728,600,1,1,402,0
16,768.2772,600,1,1,402,0
17,543.3730,600,1,1,402,0
18,604.8218,600,1,1,402,0
19,493.3967,600,1,1,402,0
20,486.0011,600,1,1,402,0
21,542.4638,600,1,1,402,0
22,687.6957,600,1,1,402,0
23,144.4943,600,1,1,402,0
24,469.9566,600,1,1,402,0
25,311.1430,600,1,1,402,0
26,193.2585,600,1,1,402,0
27,164.5295,600,1,1,402,0
28,85.6275,600,1,1,402,0
29,11.4956,600,0,0,402,2
30,686.4335,600,1,1,402,0
31,502.4210,600,1,1,402,0
32,28.3542,600,1,1,402,0
33,304.5481,600,1,1,402,0
34,43.0664,600,1,1,402,0
35,769.3439,600,1,1,402,0
36,771.4660,600,1,1,402,0
37,179.6042,600,1,1,402,0
38,757.9764,600,1,1,402,0
39,862.8619,600,1,1,402,0
40,907.1264,600,1,1,402,0
41,78.6633,600,1,1,402,0
42,11.2959,600,0,0,402,12
43,72.6611,600,1,1,402,0
44,844.5883,600,1,1,402,0
45,87.8179,600,1,1,402,0
46,689.8313,600,1,1,402,0
47,304.1939,600,1,1,402,0
48,145.2951,600,1,1,402,0
49,221.6648,600,1,1,402,0
50,271.3301,600,1,1,402,0
51,151.3444,600,1,1,402,0
52,247.9241,600,1,1,402,0
53,563.5432,600,1,1,402,0
54,702.8589,600,1,1,402,0
55,171.0272,600,1,1,402,0
56,364.3535,600,1,1,402,0
57,12.8016,600,0,0,402,5
58,782.5739,600,1,1,402,0
59,391.9696,600,1,1,402,0
60,548.9807,600,1,1,402,0
