episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,473.8333,600,1,1,517,0
1,11.0473,600,0,1,517,43
2,13.2690,600,1,1,517,0
3,119.4322,600,1,1,517,0
4,576.6863,600,1,1,517,0
5,838.2727,600,1,1,517,0
6,405.8524,600,1,1,517,0
7,13.3158,600,0,0,517,3
8,735.6508,600,1,1,517,0
9,12.3246,600,0,0,517,11
10,805.9932,600,1,1,517,0
11,500.7639,600,1,1,517,0
12,915.4731,600,1,1,517,0
13,779.5540,600,1,1,517,0
14,175.3566,600,1,1,517,0
15,11.9200,600,0,1,517,31
16,93.0839,600,1,1,517,0
17,71.6511,600,1,1,517,0
18,382.5008,600,1,1,517,0
19,114.6035,600,1,1,517,0
20,140.5111,600,1,1,517,0
21,230.3900,600,1,1,517,0
22,234.3442,600,1,1,517,0
23,543.1292,600,1,1,517,0
24,745.5265,600,1,1,517,0
25,310.4376,600,1,1,517,0
26,894.2598,600,1,1,517,0
27,275.3699,600,1,1,517,0
28,12.9546,600,0,0,517,18
29,213.7604,600,1,1,517,0
30,293.7507,600,1,1,517,0
31,702.1380,600,1,1,517,0
32,667.8274,600,1,1,517,0
33,770.9172,600,1,1,517,0
34,821.9616,600,1,1,517,0
35,13.3994,600,0,0,517,8
36,359.9063,600,1,1,517,0
37,656.3968,600,1,1,517,0
38,131.6618,600,1,1,517,0
39,765.6715,600,1,1,517,0
40,819.6377,600,1,1,517,0
41,12.6368,600,0,1,517,24
42,747.5021,600,1,1,517,0
43,521.0929,600,1,1,517,0
44,830.1614,600,1,1,517,0
45,743.7282,600,1,1,517,0
46,13.4073,600,0,1,517,16
47,235.7371,600,1,1,517,0
48,190.7485,600,1,1,517,0
49,753.3236,600,1,1,517,0
50,13.2423,600,0,1,517,19
51,130.5708,600,1,1,517,0
52,70.9751,600,1,1,517,0
53,801.5289,600,1,1,517,0
54,775.6873,600,1,1,517,0
55,56.2701,600,1,1,517,0
56,890.6449,600,1,1,517,0
57,679.2709,600,1,1,517,0
58,851.8800,600,1,1,517,0
59,943.4079,600,1,1,517,0
60,228.4365,600,1,1,517,0
61,316.7406,600,1,1,517,0
62,121.1886,600,1,1,517,0
63,13.2731,600,0,1,517,17
64,775.0297,600,1,1,517,0
65,148.5487,600,1,1,517,0
66,311.8939,600,1,1,517,0
67,685.8808,600,1,1,517,0
68,245.3383,600,1,1,517,0
69,118.4488,600,1,1,517,0
70,647.5023,600,1,1,517,0
71,227.6879,600,1,1,517,0
72,739.5297,600,1,1,517,0
73,902.7869,600,1,1,517,0
74,119.3114,600,1,1,517,0
75,498.8396,600,1,1,517,0
76,890.7175,600,1,1,517,0
77,49.5606,600,1,1,517,0
78,13.9651,600,0,1,517,18
79,151.1211,600,1,1,517,0
80,178.0967,600,1,1,517,0
81,203.0969,600,1,1,517,0
82,515.4912,600,1,1,517,0
83,141.9771,600,1,1,517,0
84,780.9896,600,1,1,517,0
85,246.0152,600,1,1,517,0
86,107.4363,600,1,1,517,0
87,116.2579,600,1,1,517,0
88,803.6070,600,1,1,517,0
89,234.9282,600,1,1,517,0
90,26.6185,600,1,1,517,0
91,691.0427,600,1,1,517,0
92,204.3196,600,1,1,517,0
93,511.3763,600,1,1,517,0
94,783.6884,600,1,1,517,0
95,740.4222,600,1,1,517,0
96,733.4036,600,1,1,517,0
97,897.4509,600,1,1,517,0
98,697.3528,600,1,1,517,0
99,526.9526,600,1,1,517,0
100,520.5010,600,1,1,487,0
101,206.0773,600,1,1,487,0
102,164.2754,600,1,1,487,0
103,693.0035,600,1,1,487,0
