episode,total_reward,steps,success,switched,self_fuel_end,dry_mass,fuel_mass
0,6.9838,117,0,0,0.8257,411,15
1,1003.9889,600,1,1,-0.2657,411,0
2,1015.6931,600,1,1,-0.4029,411,0
3,941.2813,600,1,1,-0.4444,411,0
4,960.7480,600,1,1,-0.4452,411,0
5,667.9768,600,1,1,-0.4485,411,0
6,963.2308,600,1,1,-0.4408,411,0
7,979.4054,600,1,1,-0.4401,411,0
8,896.5990,600,1,1,-0.4512,411,0
9,706.7131,600,1,1,-0.4428,411,0
10,886.2736,600,1,1,-0.4470,411,0
11,882.8560,600,1,1,-0.4494,411,0
12,921.9497,600,1,1,-0.4450,411,0
13,1012.4908,600,1,1,-0.4458,411,0
14,931.6337,600,1,1,-0.4513,411,0
15,935.9990,600,1,1,-0.4535,411,0
16,920.0723,600,1,1,-0.4489,411,0
17,769.7159,600,1,1,-0.4533,411,0
18,868.8154,600,1,1,-0.4496,411,0
19,582.4394,600,1,1,-0.4475,411,0
20,935.2374,600,1,1,-0.4514,411,0
21,6.0415,415,0,1,-0.0016,411,35
22,749.2842,600,1,1,-0.4488,411,0
23,781.4108,600,1,1,-0.4453,411,0
24,836.3822,600,1,1,-0.4497,411,0
25,912.3970,600,1,1,-0.4542,411,0
26,865.9014,600,1,1,-0.4541,411,0
27,884.3680,600,1,1,-0.4448,411,0
28,742.0958,600,1,1,-0.4525,411,0
29,840.8995,600,1,1,-0.4537,411,0
30,886.9334,600,1,1,-0.4505,411,0
31,962.5548,600,1,1,-0.4481,411,0
32,10.5130,138,0,0,0.6667,411,13
33,813.8405,600,1,1,-0.4495,411,0
34,937.4112,600,1,1,-0.4509,411,0
35,908.6071,600,1,1,-0.4490,411,0
36,897.4487,600,1,1,-0.4455,411,0
37,661.1344,600,1,1,-0.4516,411,0
38,956.0779,600,1,1,-0.4529,411,0
39,965.4991,600,1,1,-0.4441,411,0
40,914.9361,600,1,1,-0.4494,411,0
41,993.7162,600,1,1,-0.4539,411,0
42,1012.7288,600,1,1,-0.4453,411,0
43,914.9145,600,1,1,-0.4527,411,0
44,925.1402,600,1,1,-0.4523,411,0
45,764.0800,600,1,1,-0.4524,411,0
46,926.0226,600,1,1,-0.4475,411,0
47,905.7363,600,1,1,-0.4437,411,0
48,971.9604,600,1,1,-0.4480,411,0
49,948.1340,600,1,1,-0.4515,411,0
50,998.0690,600,1,1,-0.4503,411,0
51,820.0311,600,1,1,-0.4399,411,0
52,963.3989,600,1,1,-0.4440,411,0
53,944.8853,600,1,1,-0.4529,411,0
54,860.7419,600,1,1,-0.4434,411,0
55,917.4247,600,1,1,-0.4483,411,0
56,979.9386,600,1,1,-0.4473,411,0
57,934.8659,600,1,1,-0.4490,411,0
58,934.6735,600,1,1,-0.4539,411,0
59,11.9276,187,0,0,0.5484,411,5
60,824.8311,600,1,1,-0.4426,411,0
61,876.9733,600,1,1,-0.4495,411,0
62,938.4189,600,1,1,-0.4487,411,0
63,911.5054,600,1,1,-0.4538,411,0
64,683.7078,600,1,1,-0.4484,411,0
65,936.3664,600,1,1,-0.4493,411,0
66,6.5962,109,0,0,0.7368,411,19
67,898.7588,600,1,1,-0.4504,411,0
68,882.4126,600,1,1,-0.4525,411,0
69,939.1793,600,1,1,-0.4361,411,0
70,832.4811,600,1,1,-0.4455,411,0
71,807.3977,600,1,1,-0.4505,411,0
72,694.0977,600,1,1,-0.4426,411,0
73,867.3165,600,1,1,-0.4540,411,0
74,942.6399,600,1,1,-0.4505,411,0
75,906.8032,600,1,1,-0.4514,411,0
76,906.0630,600,1,1,-0.4527,411,0
77,1001.2983,600,1,1,-0.4487,411,0
78,10.0564,165,0,0,0.6019,411,2
79,982.7306,600,1,1,-0.4525,411,0
80,651.3831,600,1,1,-0.4472,411,0
81,826.9302,600,1,1,-0.4532,411,0
82,936.0904,600,1,1,-0.4509,411,0
83,852.1511,600,1,1,-0.4465,411,0
84,908.2773,600,1,1,-0.4405,411,0
