episode,total_reward,steps,success,switched,self_fuel_end,dry_mass,fuel_mass
0,433.6485,450,1,1,0.1830,542,0
1,614.0969,450,1,1,-0.0446,542,0
2,599.1885,450,1,1,-0.0879,542,0
3,11.4633,192,0,0,0.5389,542,9
4,673.1414,450,1,1,-0.0885,542,0
5,686.0293,450,1,1,-0.0906,542,0
6,358.8760,450,1,1,-0.0849,542,0
7,689.6878,450,1,1,-0.0885,542,0
8,701.7052,450,1,1,-0.0912,542,0
9,621.2965,450,1,1,-0.0908,542,0
10,502.6489,450,1,1,-0.0906,542,0
11,629.0045,450,1,1,-0.0912,542,0
12,569.3563,450,1,1,-0.0909,542,0
13,480.0479,450,1,1,-0.0903,542,0
14,637.0282,450,1,1,-0.0911,542,0
15,479.5560,450,1,1,-0.0908,542,0
16,688.8075,450,1,1,-0.0898,542,0
17,666.7847,450,1,1,-0.0912,542,0
18,661.1540,450,1,1,-0.0884,542,0
19,211.1297,450,1,1,-0.0912,542,0
20,4.9481,68,0,0,0.8351,542,57
21,611.8095,450,1,1,-0.0890,542,0
22,6.0231,96,0,0,0.7672,542,26
23,534.6081,450,1,1,-0.0893,542,0
24,667.9465,450,1,1,-0.0899,542,0
25,707.7190,450,1,1,-0.0905,542,0
26,640.2818,450,1,1,-0.0912,542,0
27,582.6953,450,1,1,-0.0908,542,0
28,680.1984,450,1,1,-0.0904,542,0
29,644.8791,450,1,1,-0.0895,542,0
30,567.1795,450,1,1,-0.0906,542,0
31,618.3643,450,1,1,-0.0912,542,0
32,7.4318,121,0,0,0.7066,542,28
33,675.5199,450,1,1,-0.0910,542,0
34,700.6397,450,1,1,-0.0910,542,0
35,678.2638,450,1,1,-0.0903,542,0
36,628.5615,450,1,1,-0.0905,542,0
37,640.5692,450,1,1,-0.0908,542,0
38,709.9738,450,1,1,-0.0912,542,0
39,679.2981,450,1,1,-0.0912,542,0
40,615.2502,450,1,1,-0.0911,542,0
41,558.1525,450,1,1,-0.0901,542,0
42,348.0127,450,1,1,-0.0912,542,0
43,680.8371,450,1,1,-0.0912,542,0
44,606.1981,450,1,1,-0.0908,542,0
45,10.1189,170,0,0,0.5878,542,19
46,543.4205,450,1,1,-0.0912,542,0
47,631.2325,450,1,1,-0.0912,542,0
48,639.0773,450,1,1,-0.0912,542,0
49,603.6019,450,1,1,-0.0906,542,0
50,536.4846,450,1,1,-0.0912,542,0
51,11.2066,149,0,0,0.6387,542,7
52,669.5751,450,1,1,-0.0912,542,0
53,546.6078,450,1,1,-0.0912,542,0
54,585.1539,450,1,1,-0.0909,542,0
55,620.7519,450,1,1,-0.0912,542,0
56,661.1873,450,1,1,-0.0907,542,0
57,535.8776,450,1,1,-0.0912,542,0
58,577.9093,450,1,1,-0.0910,542,0
59,643.2364,450,1,1,-0.0912,542,0
60,565.5065,450,1,1,-0.0912,542,0
61,715.7932,450,1,1,-0.0908,542,0
62,635.6192,450,1,1,-0.0896,542,0
63,7.5121,97,0,0,0.7648,542,50
64,643.5209,450,1,1,-0.0912,542,0
65,466.2679,450,1,1,-0.0911,542,0
66,660.4724,450,1,1,-0.0903,542,0
67,456.5632,450,1,1,-0.0883,542,0
68,686.6253,450,1,1,-0.0869,542,0
69,669.7984,450,1,1,-0.0894,542,0
70,656.6924,450,1,1,-0.0911,542,0
71,588.0049,450,1,1,-0.0912,542,0
72,290.0074,450,1,1,-0.0755,542,0
73,679.6056,450,1,1,-0.0857,542,0
74,627.3533,450,1,1,-0.0893,542,0
75,599.4324,450,1,1,-0.0873,542,0
76,465.4776,450,1,1,-0.0772,542,0
