episode,total_reward,steps,success,switched,self_fuel_end,dry_mass,fuel_mass
0,566.4602,450,1,1,0.1701,538,0
1,508.0784,450,1,1,-0.0612,538,0
2,614.9767,450,1,1,-0.0763,538,0
3,588.3432,450,1,1,-0.0821,538,0
4,497.2409,450,1,1,-0.0802,538,0
5,584.9947,450,1,1,-0.0860,538,0
6,607.0243,450,1,1,-0.0886,538,0
7,420.0789,450,1,1,-0.0903,538,0
8,660.4435,450,1,1,-0.0873,538,0
9,524.7961,450,1,1,-0.0879,538,0
10,551.5953,450,1,1,-0.0832,538,0
11,582.2971,450,1,1,-0.0894,538,0
12,585.6320,450,1,1,-0.0910,538,0
13,713.0607,450,1,1,-0.0893,538,0
14,524.6849,450,1,1,-0.0887,538,0
15,699.3075,450,1,1,-0.0856,538,0
16,658.5288,450,1,1,-0.0888,538,0
17,573.4461,450,1,1,-0.0892,538,0
18,4.8658,99,0,0,0.7609,538,20
19,537.2488,450,1,1,-0.0868,538,0
20,624.0191,450,1,1,-0.0907,538,0
21,597.2201,450,1,1,-0.0902,538,0
22,399.0685,450,1,1,-0.0901,538,0
23,571.8869,450,1,1,-0.0879,538,0
24,623.3750,450,1,1,-0.0906,538,0
25,617.9963,450,1,1,-0.0881,538,0
26,626.5790,450,1,1,-0.0904,538,0
27,633.3196,450,1,1,-0.0904,538,0
28,636.9646,450,1,1,-0.0892,538,0
29,587.5309,450,1,1,-0.0865,538,0
30,7.1921,190,0,0,0.5393,538,5
31,535.3172,450,1,1,-0.0883,538,0
32,374.8817,450,1,1,-0.0879,538,0
33,489.2449,450,1,1,-0.0859,538,0
34,537.1248,450,1,1,-0.0907,538,0
35,580.9817,450,1,1,-0.0897,538,0
36,713.4535,450,1,1,-0.0871,538,0
37,413.4999,450,1,1,-0.0851,538,0
38,496.5427,450,1,1,-0.0869,538,0
39,509.2584,450,1,1,-0.0771,538,0
40,666.6255,450,1,1,-0.0883,538,0
41,4.6663,101,0,0,0.7579,538,30
42,517.0805,450,1,1,-0.0843,538,0
43,649.5370,450,1,1,-0.0845,538,0
44,643.1780,450,1,1,-0.0811,538,0
45,705.4736,450,1,1,-0.0876,538,0
46,425.9824,450,1,1,-0.0869,538,0
47,690.6676,450,1,1,-0.0890,538,0
48,474.6562,450,1,1,-0.0851,538,0
49,393.8637,450,1,1,-0.0827,538,0
50,441.8637,450,1,1,-0.0883,538,0
51,625.3294,450,1,1,-0.0884,538,0
52,7.9984,137,0,0,0.6688,538,22
53,516.6285,450,1,1,-0.0789,538,0
54,675.2815,450,1,1,-0.0785,538,0
55,624.9877,450,1,1,-0.0839,538,0
56,5.7472,117,0,0,0.7187,538,52
57,644.9506,450,1,1,-0.0799,538,0
58,633.9936,450,1,1,-0.0869,538,0
59,3.8942,102,0,0,0.7543,538,30
60,451.9514,450,1,1,-0.0811,538,0
61,5.9447,144,0,0,0.6516,538,19
62,698.5455,450,1,1,-0.0851,538,0
63,567.1743,450,1,1,-0.0832,538,0
64,679.6059,450,1,1,-0.0871,538,0
65,678.0709,450,1,1,-0.0898,538,0
66,489.0918,450,1,1,-0.0889,538,0
67,624.5780,450,1,1,-0.0865,538,0
68,561.7869,450,1,1,-0.0858,538,0
69,643.0094,450,1,1,-0.0858,538,0
70,6.2525,135,0,0,0.6741,538,22
71,663.1410,450,1,1,-0.0875,538,0
72,605.0475,450,1,1,-0.0904,538,0
73,551.3515,450,1,1,-0.0873,538,0
74,470.8848,450,1,1,-0.0806,538,0
75,533.6461,450,1,1,-0.0823,538,0
76,474.8063,450,1,1,-0.0883,538,0
77,579.2067,450,1,1,-0.0841,538,0
78,6.8408,149,0,0,0.6404,538,12
79,673.4351,450,1,1,-0.0907,538,0
80,581.0744,450,1,1,-0.0827,538,0
81,638.4200,450,1,1,-0.0866,538,0
82,676.6185,450,1,1,-0.0828,538,0
83,671.2392,450,1,1,-0.0904,538,0
84,584.1402,450,1,1,-0.0872,538,0
85,550.4135,450,1,1,-0.0837,538,0
86,658.9044,450,1,1,-0.0848,538,0
87,568.1801,450,1,1,-0.0811,538,0
88,665.8383,450,1,1,-0.0841,538,0
89,637.4864,450,1,1,-0.0899,538,0
90,628.9049,450,1,1,-0.0865,538,0
91,242.9792,450,1,1,-0.0872,538,0
92,8.5493,137,0,0,0.6690,538,4
93,3.7588,99,0,0,0.7608,538,45
94,622.4257,450,1,1,-0.0865,538,0
95,624.8385,450,1,1,-0.0903,538,0
96,568.0212,450,1,1,-0.0905,538,0
97,565.1831,450,1,1,-0.0868,538,0
98,641.6257,450,1,1,-0.0838,538,0
99,577.1328,450,1,1,-0.0795,538,0
100,611.4818,450,1,1,-0.0906,576,0
101,636.8037,450,1,1,-0.0905,576,0
102,616.8081,450,1,1,-0.0903,576,0
103,648.5126,450,1,1,-0.0895,576,0
104,690.9721,450,1,1,-0.0874,576,0
105,610.1542,450,1,1,-0.0873,576,0
106,427.5208,450,1,1,-0.0902,576,0
107,579.5528,450,1,1,-0.0877,576,0
108,631.4291,450,1,1,-0.0841,576,0
109,704.5903,450,1,1,-0.0753,576,0
110,272.0019,450,1,1,-0.0883,576,0
111,675.0567,450,1,1,-0.0887,576,0
112,585.4739,450,1,1,-0.0893,576,0
113,650.1117,450,1,1,-0.0877,576,0
114,628.8674,450,1,1,-0.0911,576,0
115,640.9001,450,1,1,-0.0886,576,0
116,543.3763,450,1,1,-0.0887,576,0
117,659.2252,450,1,1,-0.0856,576,0
118,10.4144,415,0,0,-0.0017,576,2
119,6.3893,153,0,0,0.6313,576,21
120,576.0142,450,1,1,-0.0901,576,0
121,606.9690,450,1,1,-0.0837,576,0
122,573.3852,450,1,1,-0.0810,576,0
123,562.4667,450,1,1,-0.0841,576,0
124,655.1680,450,1,1,-0.0849,576,0
125,628.3553,450,1,1,-0.0858,576,0
126,583.2968,450,1,1,-0.0882,576,0
127,661.7025,450,1,1,-0.0822,576,0
128,673.5931,450,1,1,-0.0888,576,0
129,5.6301,126,0,0,0.6955,576,5
130,524.7832,450,1,1,-0.0869,576,0
131,646.3277,450,1,1,-0.0864,576,0
132,694.6168,450,1,1,-0.0887,576,0
133,589.1211,450,1,1,-0.0848,576,0
134,558.0817,450,1,1,-0.0865,576,0
135,626.3898,450,1,1,-0.0878,576,0
136,695.5858,450,1,1,-0.0866,576,0
137,404.0450,450,1,1,-0.0729,576,0
138,557.7720,450,1,1,-0.0869,576,0
139,6.4864,130,0,0,0.6857,576,5
140,622.4836,450,1,1,-0.0889,576,0
141,693.8347,450,1,1,-0.0860,576,0
142,673.4605,450,1,1,-0.0828,576,0
143,694.4054,450,1,1,-0.0905,576,0
144,594.8112,450,1,1,-0.0867,576,0
145,688.5120,450,1,1,-0.0892,576,0
146,554.9510,450,1,1,-0.0869,576,0
147,471.5443,450,1,1,-0.0843,576,0
148,553.1271,450,1,1,-0.0912,576,0
149,624.2994,450,1,1,-0.0896,576,0
150,613.9191,450,1,1,-0.0844,576,0
151,660.9325,450,1,1,-0.0889,576,0
152,534.9785,450,1,1,-0.0892,576,0
153,598.3094,450,1,1,-0.0823,576,0
154,434.2860,450,1,1,-0.0863,576,0
155,682.9371,450,1,1,-0.0877,576,0
