episode,total_reward,episode_length,success,alpha,actor_loss,critic_loss,dry_mass,fuel_mass_init,self_fuel_end,phase_switched
0,469.3725,400,1,0.1000,-2.7641,0.8987,593,0,0.3168,1
1,417.1554,400,1,0.1000,-4.8745,0.3026,593,0,0.0806,1
2,531.4983,400,1,0.1000,-8.4034,0.4556,593,0,0.0435,1
3,551.6858,400,1,0.1000,-12.6351,0.6821,593,0,0.0387,1
4,547.2470,400,1,0.1000,-16.6731,1.3623,593,0,0.0319,1
5,560.1148,400,1,0.1000,-19.8046,2.0771,593,0,0.0334,1
6,593.2827,400,1,0.1000,-22.8529,2.5723,593,0,0.0335,1
7,587.6935,400,1,0.1000,-26.1647,3.7385,593,0,0.0373,1
8,559.0828,400,1,0.1000,-29.1934,4.6799,593,0,0.0356,1
9,7.6583,400,0,0.1000,-32.2297,6.4665,593,56,0.0667,1
10,585.1525,400,1,0.1000,-35.1328,7.0479,593,0,0.0381,1
11,505.2561,400,1,0.1000,-38.7015,8.7718,593,0,0.0372,1
12,542.3120,400,1,0.1000,-41.6911,9.3115,593,0,0.0470,1
13,510.0331,400,1,0.1000,-44.9116,10.6709,593,0,0.0342,1
14,604.2740,400,1,0.1000,-48.5091,11.1874,593,0,0.0381,1
15,566.1877,400,1,0.1000,-51.6757,13.2264,593,0,0.0452,1
16,594.9808,400,1,0.1000,-55.2218,14.3704,593,0,0.0337,1
