episode,total_reward,episode_length,success,alpha,actor_loss,critic_loss,dry_mass,fuel_mass_init,self_fuel_end,phase_switched
0,561.5082,450,1,0.1000,-2.9074,0.5099,598,0,0.1646,1
1,621.8573,450,1,0.1000,-5.4411,0.2321,598,0,-0.0722,1
2,519.8872,450,1,0.1000,-8.9593,0.3509,598,0,-0.0842,1
3,334.9627,450,1,0.1000,-12.8510,0.9322,598,0,-0.0852,1
4,6.8268,104,0,0.1000,-15.1531,1.5635,598,42,0.7478,0
5,650.3844,450,1,0.1000,-17.2558,2.0160,598,0,-0.0897,1
6,702.9879,450,1,0.1000,-21.1638,2.4368,598,0,-0.0903,1
7,595.4512,450,1,0.1000,-24.7373,3.6947,598,0,-0.0811,1
8,457.3734,450,1,0.1000,-28.2336,4.6721,598,0,-0.0902,1
9,524.1657,450,1,0.1000,-31.8408,5.8294,598,0,-0.0901,1
10,637.9492,450,1,0.1000,-35.7255,7.0866,598,0,-0.0890,1
11,596.1954,450,1,0.1000,-39.3303,10.2845,598,0,-0.0904,1
12,610.1431,450,1,0.1000,-43.2564,10.5246,598,0,-0.0894,1
13,713.7810,450,1,0.1000,-46.4540,11.9708,598,0,-0.0906,1
14,417.0763,450,1,0.1000,-49.5823,15.2731,598,0,-0.0905,1
15,553.7318,450,1,0.1000,-52.4034,15.2972,598,0,-0.0907,1
16,602.8625,450,1,0.1000,-55.5963,17.3728,598,0,-0.0879,1
17,714.0096,450,1,0.1000,-59.1698,17.7094,598,0,-0.0899,1
18,592.2226,450,1,0.1000,-62.3616,24.3353,598,0,-0.0908,1
19,677.2956,450,1,0.1000,-64.9152,22.7312,598,0,-0.0877,1
20,584.4244,450,1,0.1000,-67.4392,24.6557,598,0,-0.0805,1
21,609.1520,450,1,0.1000,-70.7347,27.5036,598,0,-0.0881,1
22,573.4697,450,1,0.1000,-73.9519,31.0659,598,0,-0.0894,1
23,665.6422,450,1,0.1000,-76.9312,30.3739,598,0,-0.0908,1
24,667.3251,450,1,0.1000,-79.7324,34.8298,598,0,-0.0896,1
25,11.0583,180,0,0.1000,-81.9540,35.7370,598,2,0.5641,0
26,590.5264,450,1,0.1000,-83.4904,39.4486,598,0,-0.0903,1
27,640.6282,450,1,0.1000,-85.8999,39.6239,598,0,-0.0904,1
28,641.1391,450,1,0.1000,-88.0498,38.6361,598,0,-0.0884,1
29,608.6070,450,1,0.1000,-90.7985,39.0287,598,0,-0.0891,1
30,331.6847,450,1,0.1000,-92.2841,40.7596,598,0,-0.0896,1
31,368.4661,450,1,0.1000,-93.4263,44.5829,598,0,-0.0875,1
32,261.1354,450,1,0.1000,-94.8305,39.2967,598,0,-0.0907,1
33,11.2063,151,0,0.1000,-95.9526,50.4801,598,11,0.6348,0
34,7.9338,123,0,0.1000,-96.5798,35.3780,598,40,0.7022,0
35,6.2809,89,0,0.1000,-96.5836,56.3583,598,54,0.7843,0
36,593.3641,450,1,0.1000,-97.1897,53.8953,598,0,-0.0901,1
37,476.5177,450,1,0.1000,-98.5094,55.9863,598,0,-0.0906,1
38,703.7595,450,1,0.1000,-100.1367,56.9960,598,0,-0.0893,1
39,649.2556,450,1,0.1000,-101.9769,56.0122,598,0,-0.0912,1
40,629.1076,450,1,0.1000,-103.8334,58.3623,598,0,-0.0894,1
41,591.0423,450,1,0.1000,-105.5120,59.6798,598,0,-0.0908,1
42,546.2744,450,1,0.1000,-106.8884,57.5218,598,0,-0.0853,1
43,619.3510,450,1,0.1000,-109.2456,64.4854,598,0,-0.0912,1
44,606.6680,450,1,0.1000,-111.2349,66.4299,598,0,-0.0903,1
45,629.5929,450,1,0.1000,-112.8961,58.2545,598,0,-0.0908,1
46,550.3212,450,1,0.1000,-114.3905,61.8112,598,0,-0.0912,1
47,497.1876,450,1,0.1000,-115.2799,60.9541,598,0,-0.0912,1
48,618.9825,450,1,0.1000,-116.8898,63.3079,598,0,-0.0910,1
49,606.0743,450,1,0.1000,-118.4074,62.4530,598,0,-0.0907,1
50,255.2752,450,1,0.1000,-119.3005,65.7557,598,0,-0.0897,1
51,494.3250,450,1,0.1000,-120.5190,63.1042,598,0,-0.0884,1
52,8.7968,119,0,0.1000,-121.5216,61.4495,598,22,0.7120,0
53,7.4850,115,0,0.1000,-121.5120,63.6162,598,9,0.7211,0
54,156.6617,450,1,0.1000,-121.8450,61.9450,598,0,-0.0912,1
55,677.2674,450,1,0.1000,-123.1850,65.3099,598,0,-0.0871,1
56,198.7991,450,1,0.1000,-123.7565,71.6690,598,0,-0.0895,1
57,615.3489,450,1,0.1000,-124.8190,75.0243,598,0,-0.0906,1
58,584.0857,450,1,0.1000,-126.1991,72.1710,598,0,-0.0901,1
59,508.9123,450,1,0.1000,-126.7718,73.9708,598,0,-0.0896,1
60,705.0220,450,1,0.1000,-127.9965,65.6553,598,0,-0.0906,1
61,678.5235,450,1,0.1000,-128.8582,63.4133,598,0,-0.0911,1
62,580.8231,450,1,0.1000,-129.9635,63.4457,598,0,-0.0886,1
63,653.4710,450,1,0.1000,-131.0162,65.2976,598,0,-0.0908,1
