episode,total_reward,episode_length,success,alpha,actor_loss,critic_loss,dry_mass,est_mass,fuel_mass_init,phase_switched
0,16.8029,600,0,0.2000,-4.0206,0.1383,468,494,26,1
1,7.4032,600,0,0.2000,-7.2312,0.1799,468,553,85,0
2,10.2388,600,0,0.2000,-11.1338,0.3211,468,482,14,1
3,987.6539,600,1,0.2000,-15.4409,0.6293,468,468,0,1
4,6.1448,600,0,0.2000,-20.6065,1.1129,468,585,117,1
5,8.4447,600,0,0.2000,-24.9408,1.6457,468,527,59,1
6,678.1774,600,1,0.2000,-29.4929,2.1359,468,468,0,1
7,11.2548,600,0,0.2000,-34.2799,3.3256,468,538,70,0
8,774.1337,600,1,0.2000,-40.3385,4.4407,468,468,0,1
9,9.3253,600,0,0.2000,-47.6992,14.7015,468,479,11,0
10,11.6044,600,0,0.2000,-50.8770,18.3070,468,485,17,0
11,865.1216,600,1,0.2000,-56.0347,16.3122,468,468,0,1
12,11.1005,600,0,0.2000,-61.8252,18.1015,468,520,52,0
13,11.9907,600,0,0.2000,-63.9430,25.9842,468,526,58,1
14,813.5055,600,1,0.2000,-67.1869,30.9748,468,469,0,1
15,16.3319,600,0,0.2000,-71.9902,32.8052,468,469,1,0
16,877.5507,600,1,0.2000,-74.3890,39.5484,468,468,0,1
17,13.7138,600,0,0.2000,-76.6546,37.1562,468,474,6,0
18,12.3037,600,0,0.2000,-80.2509,42.7177,468,540,72,1
19,455.0900,600,1,0.2000,-83.7392,41.8253,468,468,0,1
20,348.8692,600,1,0.2000,-86.9064,39.2354,468,468,0,1
21,548.0838,600,1,0.2000,-89.3506,54.8343,468,468,0,1
22,934.4769,600,1,0.2000,-91.9509,43.4090,468,468,0,1
23,14.2016,600,0,0.2000,-93.9273,42.7457,468,479,11,0
24,11.0328,600,0,0.2000,-97.1444,55.2807,468,484,16,0
25,885.4602,600,1,0.2000,-101.8014,56.3377,468,469,0,1
26,477.3102,600,1,0.2000,-106.8904,65.1186,468,468,0,1
27,450.1731,600,1,0.2000,-109.6924,73.6854,468,468,0,1
28,323.5273,600,1,0.2000,-112.8995,64.4910,468,468,0,1
29,372.4895,600,1,0.2000,-116.0395,73.2033,468,468,0,1
30,450.5639,600,1,0.2000,-119.0470,78.1892,468,468,0,1
31,14.4699,600,0,0.2000,-121.7818,74.1313,468,490,22,0
32,13.9634,600,0,0.2000,-124.2833,84.3209,468,524,56,1
33,504.9819,600,1,0.2000,-126.6924,99.5914,468,468,0,1
34,245.3479,600,1,0.2000,-129.1463,107.6441,468,468,0,1
35,633.9538,600,1,0.2000,-131.1817,109.6491,468,468,0,1
36,13.5942,600,0,0.2000,-133.4977,91.0000,468,480,12,0
37,857.0197,600,1,0.2000,-135.5299,102.1072,468,468,0,1
38,105.0537,600,1,0.2000,-137.7530,109.3812,468,468,0,1
39,987.9868,600,1,0.2000,-139.9322,99.4778,468,468,0,1
40,14.9629,600,0,0.2000,-141.7712,97.4815,468,512,44,1
41,844.5998,600,1,0.2000,-144.6227,95.7124,468,468,0,1
42,15.7596,600,0,0.2000,-147.6125,102.5338,468,480,12,1
43,801.0043,600,1,0.2000,-149.7255,120.2825,468,468,0,1
44,1035.1656,600,1,0.2000,-152.9328,108.3775,468,468,0,1
45,525.9390,600,1,0.2000,-154.2288,127.5625,468,468,0,1
46,14.4621,600,0,0.2000,-155.2402,108.0531,468,491,23,0
47,444.6442,600,1,0.2000,-156.3919,126.6727,468,468,0,1
48,327.3356,600,1,0.2000,-158.0379,125.1818,468,468,0,1
49,223.5718,600,1,0.2000,-159.5625,121.2706,468,468,0,1
50,147.7793,600,1,0.2000,-160.4802,125.3236,468,468,0,1
51,861.2759,600,1,0.2000,-161.4039,127.4796,468,468,0,1
52,804.5329,600,1,0.2000,-162.5878,132.5886,468,468,0,1
53,630.2516,600,1,0.2000,-163.6188,125.2538,468,468,0,1
54,556.2630,600,1,0.2000,-164.8363,128.5939,468,468,0,1
55,14.6544,600,0,0.2000,-165.9418,124.0119,468,510,42,0
56,849.4773,600,1,0.2000,-167.4877,139.7732,468,468,0,1
57,717.5972,600,1,0.2000,-169.7693,134.7019,468,468,0,1
58,455.1561,600,1,0.2000,-170.9157,134.2885,468,468,0,1
59,712.8392,600,1,0.2000,-172.1009,155.2740,468,468,0,1
60,72.0008,600,1,0.2000,-173.6839,128.7475,468,468,0,1
61,14.4697,600,0,0.2000,-173.8942,136.7594,468,493,25,0
62,620.9482,600,1,0.2000,-174.5020,144.2784,468,468,0,1
63,837.2170,600,1,0.2000,-175.4507,150.6576,468,468,0,1
64,15.4123,600,0,0.2000,-176.0944,154.2079,468,503,35,0
65,79.7277,600,1,0.2000,-176.4122,147.5168,468,468,0,1
66,625.7974,600,1,0.2000,-177.3766,150.7604,468,468,0,1
67,964.2039,600,1,0.2000,-178.8834,155.1544,468,468,0,1
68,101.9485,600,1,0.2000,-179.6570,135.5522,468,468,0,1
69,770.2846,600,1,0.2000,-180.6598,146.7904,468,468,0,1
70,742.5797,600,1,0.2000,-181.3702,147.5137,468,468,0,1
71,132.5790,600,1,0.2000,-181.9919,164.5604,468,468,0,1
72,699.2729,600,1,0.2000,-182.3211,159.1734,468,468,0,1
73,575.3973,600,1,0.2000,-183.2946,153.6378,468,468,0,1
74,997.6210,600,1,0.2000,-183.6702,152.9468,468,469,0,1
75,346.3556,600,1,0.2000,-184.2812,153.9565,468,468,0,1
76,891.5089,600,1,0.2000,-185.9677,157.9673,468,468,0,1
77,761.5628,600,1,0.2000,-187.3413,155.8637,468,468,0,1
78,100.7680,600,1,0.2000,-187.4736,169.4605,468,468,0,1
79,563.9541,600,1,0.2000,-187.8562,168.1701,468,468,0,1
80,444.7315,600,1,0.2000,-187.7095,139.7776,468,468,0,1
81,42.2263,600,1,0.2000,-188.0508,143.8635,468,468,0,1
82,804.2502,600,1,0.2000,-188.1696,141.2032,468,468,0,1
83,154.5680,600,1,0.2000,-188.5452,149.5870,468,468,0,1
84,521.5330,600,1,0.2000,-188.6337,151.8177,468,468,0,1
85,68.2304,600,1,0.2000,-188.8670,152.9420,468,468,0,1
86,946.0122,600,1,0.2000,-189.3203,136.0276,468,468,0,1
87,1032.3573,600,1,0.2000,-190.1215,134.3642,468,468,0,1
88,568.6681,600,1,0.2000,-190.5073,147.5597,468,468,0,1
89,13.0469,600,0,0.2000,-191.3930,145.9647,468,512,44,0
90,931.7184,600,1,0.2000,-191.5551,151.2325,468,468,0,1
