episode,total_reward,episode_length,success,alpha,actor_loss,critic_loss,dry_mass,fuel_mass_init,self_fuel_end,phase_switched
0,922.0219,600,1,0.1000,-4.1951,0.3187,561,0,-0.1561,1
1,908.8412,600,1,0.1000,-8.4917,0.1652,561,0,-0.4540,1
2,697.7942,600,1,0.1000,-13.9531,0.4814,561,0,-0.4548,1
3,968.8017,600,1,0.1000,-20.3844,1.4703,561,0,-0.4548,1
4,935.7318,600,1,0.1000,-27.8923,3.3427,561,0,-0.4481,1
5,916.4217,600,1,0.1000,-35.9335,4.3134,561,0,-0.4541,1
6,800.9468,600,1,0.1000,-43.1330,5.1854,561,0,-0.4543,1
7,910.3575,600,1,0.1000,-47.4946,6.8856,561,0,-0.4549,1
8,5.7641,102,0,0.1000,-50.1792,8.4647,561,25,0.7527,0
9,873.1805,600,1,0.1000,-51.9144,8.1456,561,0,-0.4526,1
10,964.4688,600,1,0.1000,-55.9647,11.3869,561,0,-0.4525,1
11,912.3252,600,1,0.1000,-60.1366,10.9155,561,0,-0.4545,1
12,970.1658,600,1,0.1000,-65.0087,15.1031,561,0,-0.4549,1
13,970.7401,600,1,0.1000,-69.5206,17.4755,561,0,-0.4547,1
14,912.0885,600,1,0.1000,-73.7989,19.6283,561,0,-0.4541,1
15,775.7724,600,1,0.1000,-77.9302,22.3571,561,0,-0.4535,1
16,952.6305,600,1,0.1000,-82.4982,29.4665,561,0,-0.4546,1
17,819.5396,600,1,0.1000,-86.3855,27.5859,561,0,-0.4538,1
18,909.8250,600,1,0.1000,-90.3030,36.0854,561,0,-0.4549,1
19,902.7769,600,1,0.1000,-94.1392,42.0982,561,0,-0.4534,1
20,874.7096,600,1,0.1000,-98.4239,32.1040,561,0,-0.4506,1
21,891.7381,600,1,0.1000,-102.9551,43.8128,561,0,-0.4525,1
22,902.2969,600,1,0.1000,-106.2569,45.3905,561,0,-0.4521,1
23,873.0808,600,1,0.1000,-109.6945,46.5338,561,0,-0.4513,1
24,918.4963,600,1,0.1000,-112.4505,45.8082,561,0,-0.4517,1
25,916.5003,600,1,0.1000,-114.9845,48.2362,561,0,-0.4511,1
26,912.9625,600,1,0.1000,-118.0654,51.6581,561,0,-0.4526,1
27,866.7093,600,1,0.1000,-120.5964,50.2328,561,0,-0.4536,1
28,953.6022,600,1,0.1000,-123.2869,58.2191,561,0,-0.4541,1
29,983.9830,600,1,0.1000,-125.5976,57.6221,561,0,-0.4544,1
30,1008.1299,600,1,0.1000,-127.8146,63.8078,561,0,-0.4532,1
31,845.0892,600,1,0.1000,-129.5913,64.4247,561,0,-0.4549,1
32,942.6138,600,1,0.1000,-132.0266,65.1187,561,0,-0.4537,1
33,904.2474,600,1,0.1000,-134.1928,64.0340,561,0,-0.4511,1
34,936.5740,600,1,0.1000,-136.1608,61.6398,561,0,-0.4544,1
35,1002.6706,600,1,0.1000,-138.5847,75.5643,561,0,-0.4539,1
36,1028.0331,600,1,0.1000,-140.5347,73.2206,561,0,-0.4522,1
37,946.8015,600,1,0.1000,-142.4387,71.2593,561,0,-0.4531,1
38,911.6188,600,1,0.1000,-143.9541,84.6236,561,0,-0.4535,1
39,894.6809,600,1,0.1000,-145.3990,85.1483,561,0,-0.4496,1
40,985.3115,600,1,0.1000,-147.2581,78.9183,561,0,-0.4538,1
