episode,total_reward,episode_length,success,actor_loss,critic_loss,dry_mass,fuel_mass_init,self_fuel_end,phase_switched,efficiency
0,997.8118,600,1,-1.9907,0.3370,423,0,0.5782,1,0.9979
1,12.7296,164,0,-2.8008,0.0586,423,32,0.7712,0,0.9972
2,611.3242,600,1,-3.4628,0.2368,423,0,0.3778,1,0.9963
3,1030.8613,600,1,-5.6394,0.3383,423,0,0.2903,1,0.9985
4,16.7496,600,0,-7.5494,0.3754,423,49,0.5040,1,0.9936
5,991.1424,600,1,-9.3727,0.6668,423,0,0.2125,1,0.9984
6,733.0496,600,1,-11.1833,0.7016,423,0,0.2180,1,0.9966
7,4.6895,120,0,-12.5970,0.8495,423,111,0.8356,0,0.9969
8,4.4790,148,0,-12.6769,1.1124,423,110,0.7973,1,0.9949
9,887.7729,600,1,-13.7568,1.3426,423,0,0.4301,1,0.9970
10,702.8083,600,1,-15.8329,1.5385,423,0,0.2127,1,0.9982
11,892.8361,600,1,-17.7059,1.7193,423,0,0.2144,1,0.9977
12,261.8225,600,1,-19.3340,2.2045,423,0,0.1953,1,0.9950
13,886.8957,600,1,-21.4176,2.4833,423,0,0.4507,1,0.9983
14,897.7597,600,1,-23.6429,3.2359,423,0,0.2593,1,0.9978
15,11.1543,123,0,-24.8640,3.8926,423,9,0.8266,0,0.9979
16,712.8343,600,1,-25.5198,3.5410,423,0,0.0947,1,0.9975
17,12.2296,117,0,-26.8965,4.1857,423,21,0.8262,0,0.9979
18,18.9195,600,0,-27.4177,3.8372,423,31,0.2132,1,0.9880
19,870.0208,600,1,-28.7515,4.2788,423,0,0.2045,1,0.9986
20,907.7928,600,1,-30.4288,5.2659,423,0,0.4866,1,0.9971
21,13.2976,236,0,-31.5888,6.0489,423,39,0.7063,0,0.9975
22,962.5375,600,1,-32.6019,6.3945,423,0,0.2255,1,0.9979
23,986.2158,600,1,-34.3933,7.3422,423,0,0.2700,1,0.9985
24,935.3746,600,1,-35.9676,8.6103,423,0,0.1835,1,0.9962
25,5.9917,81,0,-36.1583,8.5803,423,92,0.8801,0,0.9980
26,19.1782,600,0,-37.3748,8.8330,423,28,0.3125,1,0.9745
27,1024.2204,600,1,-38.9092,9.0569,423,0,0.1956,1,0.9971
28,929.2517,600,1,-40.6562,9.3651,423,0,0.4155,1,0.9971
29,6.9350,131,0,-42.0666,11.8249,423,55,0.8146,0,0.9977
30,1002.5827,600,1,-42.5130,10.6139,423,0,0.2535,1,0.9920
31,912.8913,600,1,-44.1599,10.4491,423,0,0.2291,1,0.9961
32,596.4729,600,1,-45.5912,10.7778,423,0,0.2885,1,0.9981
33,973.1025,600,1,-47.0877,11.9099,423,0,0.1846,1,0.9973
34,13.6161,169,0,-48.1340,13.0029,423,2,0.7423,0,0.9978
35,6.4472,124,0,-48.0794,13.2620,423,94,0.8197,0,0.9973
36,856.4929,600,1,-48.9434,13.4504,423,0,0.1807,1,0.9988
37,16.1399,600,0,-50.2235,13.4299,423,70,0.2117,1,0.9888
38,17.5327,600,0,-51.5748,14.4748,423,54,0.2551,1,0.9663
39,872.0038,600,1,-52.6102,17.1070,423,0,0.1779,1,0.9985
40,829.2605,600,1,-53.9989,15.2899,423,0,0.2747,1,0.9982
41,5.4940,178,0,-54.7874,16.6605,423,83,0.7594,1,0.9934
42,14.6167,258,0,-54.5852,16.8244,423,31,0.6577,0,0.9964
43,1014.4163,600,1,-55.0414,18.1960,423,0,0.2213,1,0.9983
44,1003.0197,600,1,-56.1997,17.3614,423,0,0.3257,1,0.9971
45,19.4777,600,0,-57.2433,18.1954,423,22,0.4907,1,0.9979
46,888.5885,600,1,-58.0912,157.6927,423,0,0.1560,1,0.9980
47,8.7929,108,0,-58.4340,30.1868,423,30,0.8421,0,0.9982
48,849.1897,600,1,-59.2505,48.1008,423,0,0.1522,1,0.9982
49,859.2806,600,1,-60.0761,28.0220,423,0,0.1869,1,0.9979
50,1038.3575,600,1,-61.1212,28.4571,423,0,0.1603,1,0.9983
51,920.6462,600,1,-62.4342,32.5345,423,0,0.2344,1,0.9980
52,11.4068,350,0,-63.1280,53.1909,423,43,0.4972,1,0.9943
53,11.9755,150,0,-63.9140,30.5111,423,34,0.7994,0,0.9989
54,773.4406,600,1,-64.3051,33.7030,423,0,0.1751,1,0.9965
55,6.3305,144,0,-65.2934,35.6667,423,93,0.7996,0,0.9969
56,928.7293,600,1,-65.4272,37.1669,423,0,0.2463,1,0.9961
57,879.2535,600,1,-66.3505,42.9212,423,0,0.1786,1,0.9991
58,961.3841,600,1,-67.4448,30.8533,423,0,0.2574,1,0.9949
59,741.1482,600,1,-68.8105,39.6984,423,0,0.2869,1,0.9971
60,11.8720,133,0,-69.2981,33.8243,423,9,0.8027,0,0.9987
61,345.4236,600,1,-69.6742,39.1911,423,0,0.2527,1,0.9977
62,771.5382,600,1,-70.6087,35.0378,423,0,0.3222,1,0.9977
63,870.1649,600,1,-71.7000,30.7483,423,0,0.2244,1,0.9980
64,845.4365,600,1,-71.9155,34.2947,423,0,0.3810,1,0.9981
65,18.1840,600,0,-73.0743,35.6075,423,30,0.2929,1,0.9936
66,946.6238,600,1,-73.9000,38.0213,423,0,0.3012,1,0.9972
67,588.7547,600,1,-74.7789,36.9051,423,0,0.2187,1,0.9975
68,343.8349,600,1,-75.5950,34.1344,423,0,0.2365,1,0.9926
69,22.0862,600,0,-76.3783,48.4045,423,12,0.1993,1,0.9924
70,963.1575,600,1,-77.2954,43.5241,423,0,0.2918,1,0.9983
71,8.2598,97,0,-78.0978,25.7117,423,51,0.8619,0,0.9982
72,17.4289,600,0,-78.3104,33.4504,423,78,0.3236,1,0.9927
73,869.3390,600,1,-78.7044,35.6310,423,0,0.2073,1,0.9981
74,22.0296,600,0,-79.3550,37.3613,423,31,0.2504,1,0.9954
75,1026.0665,600,1,-79.9172,41.1488,423,0,0.2793,1,0.9989
76,318.4850,600,1,-80.2140,45.5638,423,0,0.1444,1,0.9967
77,998.3245,600,1,-80.6771,33.0106,423,0,0.2677,1,0.9964
78,791.0118,600,1,-81.3653,32.7277,423,0,0.2891,1,0.9948
79,928.2091,600,1,-81.9759,41.6666,423,0,0.2328,1,0.9959
80,903.9903,600,1,-82.5113,33.8241,423,0,0.3958,1,0.9990
81,934.4490,600,1,-83.0782,37.8885,423,0,0.3095,1,0.9975
82,990.1356,600,1,-83.9382,34.4154,423,0,0.3745,1,0.9980
83,1018.7742,600,1,-84.6852,38.3077,423,0,0.2304,1,0.9976
84,10.7660,136,0,-85.3796,31.0113,423,33,0.8216,0,0.9979
85,13.2852,124,0,-85.0676,47.3926,423,7,0.8357,0,0.9986
86,816.3884,600,1,-85.6385,38.1739,423,0,0.2530,1,0.9949
87,653.0894,600,1,-86.1106,35.4685,423,0,0.2125,1,0.9964
88,977.4715,600,1,-86.7928,45.1231,423,0,0.1901,1,0.9987
89,951.2501,600,1,-87.3059,36.4814,423,0,0.2018,1,0.9986
90,1001.8431,600,1,-88.0587,37.3325,423,0,0.2746,1,0.9983
91,918.3233,600,1,-88.5787,41.2486,423,0,0.2121,1,0.9980
92,828.3885,600,1,-89.2803,36.2446,423,0,0.4891,1,0.9951
93,900.1575,600,1,-90.1355,36.4104,423,0,0.2822,1,0.9974
94,1015.5498,600,1,-90.8178,32.7936,423,0,0.2348,1,0.9972
95,694.6635,600,1,-91.1768,36.2708,423,0,0.2735,1,0.9982
96,777.2702,600,1,-91.7912,39.6067,423,0,0.3315,1,0.9979
97,618.6489,600,1,-92.6384,35.9982,423,0,0.1757,1,0.9966
98,998.7561,600,1,-93.0806,34.7707,423,0,0.2637,1,0.9972
99,940.8874,600,1,-93.6631,31.9351,423,0,0.2851,1,0.9987
100,956.4632,600,1,-94.4839,36.2196,496,0,0.2031,1,0.9975
101,8.5624,158,0,-94.3615,45.2365,496,57,0.7935,0,0.9969
102,731.6269,600,1,-94.5510,39.9355,496,0,0.1767,1,0.9977
103,923.0109,600,1,-94.8004,41.3851,496,0,0.2290,1,0.9987
104,2.6003,76,0,-95.0197,52.0454,496,100,0.8938,1,0.9960
105,15.9376,600,0,-95.2674,40.0231,496,95,0.3465,1,0.9897
106,17.0831,600,0,-95.5259,38.8112,496,79,0.2074,1,0.9913
107,881.6406,600,1,-96.0246,37.9703,496,0,0.2620,1,0.9982
108,906.6168,600,1,-96.5418,36.4208,496,0,0.2857,1,0.9982
109,1002.8933,600,1,-96.5981,37.1715,496,0,0.3226,1,0.9982
110,923.8922,600,1,-96.8813,33.5214,496,0,0.3063,1,0.9982
111,1021.8446,600,1,-97.2419,38.9336,496,0,0.2466,1,0.9968
112,584.0756,600,1,-97.9555,35.1114,496,0,0.3465,1,0.9984
113,17.3686,600,0,-98.5427,40.0546,496,93,0.3995,1,0.9970
114,793.1527,600,1,-98.5711,38.9644,496,0,0.1894,1,0.9934
115,6.4246,230,0,-99.0289,42.0867,496,97,0.6947,1,0.9953
116,852.0378,600,1,-99.4037,35.7455,496,0,0.4273,1,0.9978
117,884.8879,600,1,-99.7052,36.0883,496,0,0.2831,1,0.9989
118,12.0734,135,0,-100.0009,32.5162,496,4,0.8221,0,0.9973
119,915.9841,600,1,-100.0530,46.6348,496,0,0.2193,1,0.9982
120,667.2159,600,1,-100.6339,36.8501,496,0,0.4047,1,0.9970
121,929.0525,600,1,-101.0546,42.3626,496,0,0.3458,1,0.9985
122,849.1007,600,1,-101.7964,41.5459,496,0,0.3228,1,0.9968
123,969.7819,600,1,-101.5972,41.2257,496,0,0.2493,1,0.9982
124,805.4356,600,1,-101.9570,39.4027,496,0,0.3099,1,0.9969
125,625.9421,600,1,-102.4618,39.5826,496,0,0.2276,1,0.9967
126,895.8180,600,1,-102.7286,40.3697,496,0,0.3645,1,0.9967
127,869.5290,600,1,-103.5833,42.6411,496,0,0.2927,1,0.9986
128,2.8113,85,0,-103.8914,40.1221,496,133,0.8784,1,0.9966
129,727.2406,600,1,-103.9216,46.5797,496,0,0.3450,1,0.9977
130,1043.8872,600,1,-104.3928,42.9315,496,0,0.2916,1,0.9977
131,643.6497,600,1,-104.5629,44.5802,496,0,0.2229,1,0.9985
132,10.7274,194,0,-104.6949,43.1704,496,37,0.7187,0,0.9970
133,5.2263,72,0,-106.1490,36.8516,496,93,0.8937,0,0.9981
134,764.5736,600,1,-105.0266,43.8288,496,0,0.2269,1,0.9969
135,940.9085,600,1,-105.2560,43.1687,496,0,0.2336,1,0.9980
136,226.8769,600,1,-105.2826,41.9860,496,0,0.3314,1,0.9948
137,8.7717,124,0,-105.0609,45.1599,496,68,0.8274,0,0.9985
138,310.9487,600,1,-105.4839,38.6015,496,0,0.2939,1,0.9976
139,572.4565,600,1,-105.6267,40.3451,496,0,0.5162,1,0.9966
140,997.0817,600,1,-105.5602,43.6314,496,0,0.4320,1,0.9970
141,971.8010,600,1,-106.2780,39.7475,496,0,0.3050,1,0.9962
142,290.8120,600,1,-106.3106,40.9641,496,0,0.1709,1,0.9972
143,940.9873,600,1,-106.6661,39.9216,496,0,0.3642,1,0.9985
144,927.2876,600,1,-106.5149,42.9802,496,0,0.1660,1,0.9983
145,8.2566,275,0,-106.6411,42.7696,496,70,0.6190,1,0.9969
146,725.9979,600,1,-106.8819,39.2053,496,0,0.2123,1,0.9977
147,920.5969,600,1,-107.0213,39.6293,496,0,0.3372,1,0.9984
148,948.3692,600,1,-107.2836,40.0435,496,0,0.2941,1,0.9988
149,436.1075,600,1,-107.5808,36.8906,496,0,0.2867,1,0.9960
150,662.3311,600,1,-107.3187,38.9513,496,0,0.2712,1,0.9974
151,715.3650,600,1,-107.6336,38.6315,496,0,0.2455,1,0.9979
152,917.8392,600,1,-107.6686,38.7951,496,0,0.3149,1,0.9985
153,10.5770,217,0,-107.7893,32.5410,496,70,0.7156,1,0.9976
154,981.7082,600,1,-108.2217,44.1035,496,0,0.3425,1,0.9984
155,869.0490,600,1,-107.8939,40.8383,496,0,0.2565,1,0.9981
156,960.9781,600,1,-107.8756,38.8971,496,0,0.2372,1,0.9979
157,943.5945,600,1,-108.4314,43.5206,496,0,0.1833,1,0.9983
158,981.0380,600,1,-108.6256,38.7180,496,0,0.3365,1,0.9977
159,773.6639,600,1,-108.5928,39.4846,496,0,0.2880,1,0.9985
160,849.2783,600,1,-108.5578,42.2109,496,0,0.3523,1,0.9983
161,885.4848,600,1,-108.9431,41.1294,496,0,0.3587,1,0.9981
162,614.9193,600,1,-109.0199,41.9845,496,0,0.3074,1,0.9990
163,10.7215,136,0,-108.6317,33.5310,496,41,0.8042,0,0.9978
164,6.0826,188,0,-109.5361,32.3079,496,80,0.7637,1,0.9937
165,47.1329,600,1,-109.1072,37.5195,496,0,0.3488,1,0.9922
166,709.0277,600,1,-109.1298,39.4727,496,0,0.3333,1,0.9979
167,11.3326,126,0,-109.2754,37.4725,496,12,0.8325,0,0.9976
168,17.0171,297,0,-109.0112,39.7908,496,16,0.6453,0,0.9969
169,867.0477,600,1,-109.3001,43.8107,496,0,0.3971,1,0.9991
170,8.0874,105,0,-108.2430,24.8836,496,71,0.8680,0,0.9984
171,902.5610,600,1,-109.1812,43.9562,496,0,0.3051,1,0.9973
172,995.6115,600,1,-109.2210,37.2098,496,0,0.4014,1,0.9990
173,8.5722,158,0,-109.9484,36.9109,496,72,0.7887,0,0.9970
174,924.8551,600,1,-109.4824,42.7160,496,0,0.3621,1,0.9989
175,886.2621,600,1,-109.5855,44.2493,496,0,0.3353,1,0.9982
176,833.4146,600,1,-109.2121,41.4242,496,0,0.2671,1,0.9989
177,961.2652,600,1,-109.4616,41.3975,496,0,0.3450,1,0.9972
178,13.9215,600,0,-109.2865,43.9086,496,113,0.3631,1,0.9843
179,461.2561,600,1,-109.8773,40.2142,496,0,0.2035,1,0.9967
180,905.3548,600,1,-109.2843,42.1661,496,0,0.2621,1,0.9983
181,919.6740,600,1,-109.2112,41.8473,496,0,0.2528,1,0.9986
182,564.9201,600,1,-109.0284,42.1559,496,0,0.4382,1,0.9976
183,858.2311,600,1,-109.1271,39.9685,496,0,0.2426,1,0.9984
184,18.2494,600,0,-108.7224,40.2815,496,68,0.2477,1,0.9898
185,875.2258,600,1,-108.6936,39.8781,496,0,0.4159,1,0.9988
186,594.1452,600,1,-109.3067,37.2602,496,0,0.3528,1,0.9985
187,504.6054,600,1,-108.8489,40.9608,496,0,0.2982,1,0.9962
188,971.4051,600,1,-109.0637,42.0801,496,0,0.2792,1,0.9968
189,15.0765,456,0,-109.0007,39.2514,496,54,0.4585,1,0.9964
190,9.8395,180,0,-108.9888,42.9021,496,64,0.7788,0,0.9963
191,872.5532,600,1,-108.7500,44.3281,496,0,0.3082,1,0.9976
192,979.6176,600,1,-108.8115,40.8309,496,0,0.3031,1,0.9985
193,818.2117,600,1,-108.4980,40.9034,496,0,0.3419,1,0.9984
194,874.0275,600,1,-108.6205,40.9360,496,0,0.2666,1,0.9930
195,878.0503,600,1,-108.2537,42.7577,496,0,0.3075,1,0.9981
196,846.1986,600,1,-108.6458,41.8276,496,0,0.2550,1,0.9988
197,713.8206,600,1,-108.5575,37.7008,496,0,0.5085,1,0.9973
198,991.3340,600,1,-108.2400,38.9228,496,0,0.3762,1,0.9984
199,917.7906,600,1,-108.3786,39.0974,496,0,0.2030,1,0.9982
200,956.0040,600,1,-108.2775,43.0352,589,0,0.4300,1,0.9988
201,8.0822,272,0,-108.9371,46.7480,589,72,0.6538,1,0.9953
202,205.6830,600,1,-108.3363,37.1750,589,0,0.3275,1,0.9968
203,942.0101,600,1,-108.1386,37.8452,589,0,0.2997,1,0.9972
204,18.1772,600,0,-108.3344,39.1711,589,76,0.3439,1,0.9958
205,1014.5096,600,1,-108.3839,37.1148,589,0,0.5054,1,0.9974
206,2.7350,81,0,-109.4147,47.0556,589,136,0.8877,1,0.9964
207,914.6163,600,1,-108.3192,42.2949,589,0,0.3626,1,0.9969
208,944.3230,600,1,-108.2734,40.3296,589,0,0.2656,1,0.9986
209,1012.4762,600,1,-107.8884,38.9360,589,0,0.2211,1,0.9992
210,818.4661,600,1,-108.0949,38.9351,589,0,0.1867,1,0.9981
211,944.4654,600,1,-107.8891,35.8108,589,0,0.2998,1,0.9987
212,965.6591,600,1,-107.8741,43.3840,589,0,0.3948,1,0.9973
213,10.9799,108,0,-107.0086,29.7658,589,26,0.8590,0,0.9984
214,238.4286,600,1,-107.6739,35.7143,589,0,0.4507,1,0.9924
215,959.4079,600,1,-107.4851,39.2589,589,0,0.3411,1,0.9983
216,17.5238,600,0,-107.6481,40.6073,589,58,0.2955,1,0.9912
217,854.8552,600,1,-107.4824,36.6199,589,0,0.3366,1,0.9978
218,950.1022,600,1,-107.8293,37.4915,589,0,0.3854,1,0.9980
219,968.7562,600,1,-107.5152,34.5685,589,0,0.3553,1,0.9992
220,857.7630,600,1,-107.6424,37.5944,589,0,0.2016,1,0.9990
221,839.4578,600,1,-107.6576,39.4320,589,0,0.3780,1,0.9985
222,900.6569,600,1,-107.8681,33.9054,589,0,0.4451,1,0.9985
223,876.4442,600,1,-107.6966,37.2999,589,0,0.3188,1,0.9989
224,774.8940,600,1,-108.3627,39.3885,589,0,0.3510,1,0.9972
225,848.6403,600,1,-108.4199,36.3664,589,0,0.3636,1,0.9989
226,882.5936,600,1,-108.4749,33.2686,589,0,0.3557,1,0.9994
227,327.5214,600,1,-108.5723,36.0672,589,0,0.4059,1,0.9971
228,822.8436,600,1,-108.6802,33.4052,589,0,0.5142,1,0.9985
229,925.3830,600,1,-108.5117,37.8032,589,0,0.4824,1,0.9993
230,899.0284,600,1,-108.5993,41.1796,589,0,0.4247,1,0.9988
231,948.9812,600,1,-108.6299,34.3295,589,0,0.4881,1,0.9991
232,1009.6533,600,1,-108.3720,34.7192,589,0,0.2867,1,0.9984
233,994.1471,600,1,-108.1072,37.1258,589,0,0.3338,1,0.9971
234,751.0421,600,1,-108.8679,31.4699,589,0,0.3765,1,0.9981
235,649.6223,600,1,-108.5974,30.9870,589,0,0.4184,1,0.9989
236,10.5051,192,0,-109.0713,37.2236,589,23,0.7324,0,0.9971
237,697.6322,600,1,-108.3426,35.0598,589,0,0.3224,1,0.9973
238,309.3111,600,1,-108.3175,37.4407,589,0,0.3824,1,0.9967
239,982.3117,600,1,-107.6627,33.5187,589,0,0.3010,1,0.9981
240,950.6135,600,1,-108.2532,29.5830,589,0,0.2707,1,0.9987
241,889.5052,600,1,-108.1053,27.4269,589,0,0.2763,1,0.9990
242,11.9575,132,0,-108.1609,35.3426,589,18,0.8118,0,0.9980
243,458.3979,600,1,-108.1966,34.0454,589,0,0.3859,1,0.9968
244,972.4226,600,1,-107.7730,34.4957,589,0,0.4496,1,0.9982
245,935.8724,600,1,-107.6675,34.9282,589,0,0.2760,1,0.9994
246,751.4876,600,1,-107.3873,33.5830,589,0,0.3632,1,0.9966
247,956.7333,600,1,-107.5140,33.8428,589,0,0.2913,1,0.9957
248,808.6693,600,1,-107.7776,32.7479,589,0,0.4050,1,0.9979
249,969.6476,600,1,-107.3739,34.7664,589,0,0.3390,1,0.9985
250,12.3875,136,0,-107.4362,34.8049,589,23,0.8126,0,0.9976
251,17.1906,600,0,-107.1859,29.9486,589,80,0.4011,1,0.9905
252,352.3354,600,1,-107.0929,31.5911,589,0,0.2216,1,0.9980
253,952.3035,600,1,-106.7138,30.0571,589,0,0.2830,1,0.9982
254,820.8309,600,1,-106.8293,35.4213,589,0,0.3096,1,0.9982
255,1002.3986,600,1,-106.8263,31.4499,589,0,0.3452,1,0.9963
256,957.6400,600,1,-107.0429,26.0077,589,0,0.3407,1,0.9978
257,6.6919,239,0,-107.2769,23.3970,589,98,0.6560,1,0.9940
258,920.3143,600,1,-106.6633,28.8288,589,0,0.2439,1,0.9946
259,9.6864,218,0,-106.3815,33.6563,589,58,0.6963,1,0.9983
260,7.6881,255,0,-106.5652,26.9955,589,75,0.6348,1,0.9959
261,772.1614,600,1,-106.1286,28.1363,589,0,0.1580,1,0.9970
262,683.6579,600,1,-106.3978,33.8468,589,0,0.5270,1,0.9974
263,893.8420,600,1,-106.3849,28.3922,589,0,0.3077,1,0.9984
264,20.8407,600,0,-106.5774,31.7903,589,17,0.2912,1,0.9962
265,902.9359,600,1,-105.8711,29.8302,589,0,0.3877,1,0.9979
266,904.3533,600,1,-106.2111,33.7724,589,0,0.3458,1,0.9983
267,1015.3814,600,1,-106.0702,26.0565,589,0,0.3666,1,0.9989
268,500.9412,600,1,-105.8523,26.6309,589,0,0.3683,1,0.9993
269,941.7974,600,1,-105.5170,28.4150,589,0,0.3327,1,0.9934
270,938.3913,600,1,-105.4998,29.5426,589,0,0.3164,1,0.9975
271,985.9784,600,1,-105.4035,28.1881,589,0,0.3098,1,0.9970
272,954.8973,600,1,-105.3121,25.9386,589,0,0.3056,1,0.9957
273,938.1757,600,1,-105.7462,29.2503,589,0,0.3691,1,0.9985
274,15.7897,600,0,-105.7780,29.4557,589,61,0.4252,1,0.9975
275,846.2328,600,1,-105.8501,27.7217,589,0,0.3058,1,0.9986
276,373.9393,600,1,-105.4678,25.8980,589,0,0.3552,1,0.9989
277,941.5102,600,1,-105.5403,28.5340,589,0,0.2116,1,0.9973
278,586.9019,600,1,-105.3795,29.4690,589,0,0.3399,1,0.9973
279,873.6260,600,1,-105.1200,24.9669,589,0,0.2085,1,0.9982
280,846.2751,600,1,-105.1510,29.6141,589,0,0.2372,1,0.9978
281,722.3111,600,1,-104.5152,25.5810,589,0,0.2085,1,0.9972
282,940.5806,600,1,-104.3444,27.5322,589,0,0.3101,1,0.9987
283,613.3532,600,1,-104.8413,26.8681,589,0,0.2674,1,0.9971
284,864.7646,600,1,-104.8283,26.4739,589,0,0.3178,1,0.9981
285,828.9259,600,1,-105.2636,22.9758,589,0,0.3034,1,0.9967
286,913.7090,600,1,-104.4037,30.1628,589,0,0.2304,1,0.9974
287,968.6090,600,1,-104.6508,25.8746,589,0,0.2834,1,0.9978
288,913.4971,600,1,-105.1505,24.8001,589,0,0.3302,1,0.9931
289,707.1142,600,1,-105.1733,24.0197,589,0,0.3322,1,0.9976
290,653.1254,600,1,-105.6019,24.6323,589,0,0.3601,1,0.9988
291,1017.5173,600,1,-105.3615,27.5205,589,0,0.3579,1,0.9987
292,942.9173,600,1,-105.0160,24.9555,589,0,0.2688,1,0.9965
293,1043.3608,600,1,-105.2162,24.2798,589,0,0.2865,1,0.9959
294,16.2381,226,0,-105.6070,24.8466,589,14,0.6796,0,0.9981
295,995.7171,600,1,-105.2002,26.6079,589,0,0.3051,1,0.9991
296,17.3139,600,0,-105.0951,25.9276,589,64,0.2962,1,0.9914
297,932.2340,600,1,-105.2035,24.9426,589,0,0.3107,1,0.9987
298,856.4820,600,1,-105.4704,26.5059,589,0,0.1680,1,0.9977
299,876.9007,600,1,-105.0926,28.0269,589,0,0.2987,1,0.9978
300,784.5715,600,1,-105.3682,28.1684,535,0,0.3279,1,0.9985
301,6.2949,141,0,-105.3315,22.2756,535,68,0.7994,0,0.9985
302,1007.0410,600,1,-104.7136,24.6676,535,0,0.2178,1,0.9985
303,912.7345,600,1,-104.8996,27.5547,535,0,0.2173,1,0.9977
304,7.1585,173,0,-104.5903,24.0790,535,49,0.7508,0,0.9976
305,2.9311,63,0,-105.0870,20.9690,535,88,0.9083,0,0.9991
306,885.8690,600,1,-104.5519,28.1193,535,0,0.1923,1,0.9978
307,11.7759,119,0,-104.4719,22.2191,535,22,0.8153,0,0.9983
308,712.8598,600,1,-104.5690,24.0010,535,0,0.1426,1,0.9963
309,859.4711,600,1,-103.9339,23.8707,535,0,0.2520,1,0.9985
310,641.0843,600,1,-104.1808,23.3256,535,0,0.2355,1,0.9980
311,960.9078,600,1,-104.3721,26.3332,535,0,0.2901,1,0.9985
312,979.1775,600,1,-104.3193,25.3544,535,0,0.3716,1,0.9985
313,1026.5778,600,1,-104.0716,25.4169,535,0,0.2802,1,0.9956
314,4.6022,146,0,-104.5545,22.3456,535,102,0.7819,1,0.9947
315,743.8521,600,1,-103.8771,26.5647,535,0,0.4327,1,0.9995
316,11.6384,165,0,-103.2685,31.7555,535,28,0.7611,0,0.9985
317,835.1688,600,1,-103.9943,29.2610,535,0,0.1948,1,0.9986
318,1039.9732,600,1,-103.5142,24.5537,535,0,0.3279,1,0.9986
319,986.5719,600,1,-103.8399,23.6255,535,0,0.2111,1,0.9985
320,892.3578,600,1,-104.0907,22.0953,535,0,0.3371,1,0.9982
321,890.6065,600,1,-103.5521,22.3359,535,0,0.2864,1,0.9881
322,764.9516,600,1,-103.7242,22.3036,535,0,0.3403,1,0.9982
323,986.6681,600,1,-104.3121,26.6092,535,0,0.3113,1,0.9974
324,973.0773,600,1,-104.2820,23.4317,535,0,0.2496,1,0.9937
325,890.7470,600,1,-103.9633,24.7132,535,0,0.2366,1,0.9985
326,925.2361,600,1,-103.6444,24.4031,535,0,0.1800,1,0.9982
